timestamp,location,voltage,current,power_kw,energy_kwh,power_factor
2026-09-05 08:00:00,Main Meter,230.5,5.2,1.10,38.60,0.92
2026-09-05 09:15:00,Lab Building A,228.0,12.4,2.67,142.10,0.94
2026-09-05 10:30:00,Library Wing,232.1,8.1,1.75,89.40,0.93
2026-09-05 11:45:00,Computer Center,229.4,18.5,4.03,210.50,0.95
2026-09-05 13:00:00,Cafeteria Block,231.0,14.2,3.11,175.20,0.95
2026-09-05 14:15:00,Main Meter,227.8,6.8,1.47,45.20,0.95
2026-09-05 15:30:00,Lab Building A,233.2,11.0,2.41,155.80,0.94
2026-09-05 16:45:00,Computer Center,275.0,22.0,5.75,230.10,0.95
2026-09-05 18:00:00,Library Wing,225.0,115.0,24.50,98.20,0.92
2026-09-05 19:15:00,Cafeteria Block,230.0,9.5,2.08,188.00,1.25
